number,company,symbol,ytd_return
371,BEST BUY CO INC,BBY,-3.92%
372,AMCOR PLC,AMCR,-3.94%
373,LAMB WESTON HOLDINGS INC,LW,-4.01%
374,SOUTHERN CO/THE,SO,-4.05%
375,PPG INDUSTRIES INC,PPG,-4.13%
376,XCEL ENERGY INC,XEL,-4.17%
377,LABORATORY CRP OF AMER HLDGS,LH,-4.19%
378,ROLLINS INC,ROL,-4.21%
379,APPLE INC,AAPL,-4.24%
380,HONEYWELL INTERNATIONAL INC,HON,-4.24%
381,PFIZER INC,PFE,-4.31%
382,MONSTER BEVERAGE CORP,MNST,-4.34%
383,COMCAST CORP CLASS A,CMCSA,-4.42%
384,US BANCORP,USB,-4.46%
385,ALEXANDRIA REAL ESTATE EQUIT,ARE,-4.50%
386,DR HORTON INC,DHI,-4.51%
387,REVVITY INC,RVTY,-4.52%
388,CAMDEN PROPERTY TRUST,CPT,-4.56%
389,SEMPRA,SRE,-4.56%
390,INTERNATIONAL PAPER CO,IP,-4.59%
391,TELEFLEX INC,TFX,-4.67%
392,GEN DIGITAL INC,GEN,-4.69%
393,UNITED PARCEL SERVICE CL B,UPS,-4.77%
394,POOL CORP,POOL,-4.92%
395,EXPEDITORS INTL WASH INC,EXPD,-4.95%
396,PAYPAL HOLDINGS INC,PYPL,-4.98%
397,CARMAX INC,KMX,-5.02%
398,MGM RESORTS INTERNATIONAL,MGM,-5.04%
399,AGILENT TECHNOLOGIES INC,A,-5.04%
400,DUKE ENERGY CORP,DUK,-5.06%
401,ALLIANT ENERGY CORP,LNT,-5.20%
402,NORTHERN TRUST CORP,NTRS,-5.21%
403,TAKE TWO INTERACTIVE SOFTWRE,TTWO,-5.29%
404,DEXCOM INC,DXCM,-5.31%
405,SCHLUMBERGER LTD,SLB,-5.34%
406,ROYAL CARIBBEAN CRUISES LTD,RCL,-5.35%
407,LOCKHEED MARTIN CORP,LMT,-5.37%
408,TERADYNE INC,TER,-5.57%
409,UDR INC,UDR,-5.59%
410,COSTAR GROUP INC,CSGP,-5.63%
411,DENTSPLY SIRONA INC,XRAY,-5.68%
412,VERISIGN INC,VRSN,-5.68%
413,EDISON INTERNATIONAL,EIX,-5.69%
414,HORMEL FOODS CORP,HRL,-5.70%
415,EVERSOURCE ENERGY,ES,-5.85%
416,MID AMERICA APARTMENT COMM,MAA,-5.85%
417,AVALONBAY COMMUNITIES INC,AVB,-5.93%
418,REGIONS FINANCIAL CORP,RF,-5.93%
419,SCHWAB (CHARLES) CORP,SCHW,-6.06%
420,SNAP ON INC,SNA,-6.10%
421,PNC FINANCIAL SERVICES GROUP,PNC,-6.11%
422,ON SEMICONDUCTOR,ON,-6.19%
423,ANSYS INC,ANSS,-6.21%
424,CITIZENS FINANCIAL GROUP,CFG,-6.22%
425,CARRIER GLOBAL CORP,CARR,-6.27%
426,CROWN CASTLE INC,CCI,-6.27%
427,KEYSIGHT TECHNOLOGIES IN,KEYS,-6.32%
428,PUBLIC STORAGE,PSA,-6.43%
429,STATE STREET CORP,STT,-6.51%
430,ENPHASE ENERGY INC,ENPH,-6.58%
431,BUNGE GLOBAL SA,BG,-6.66%
432,SKYWORKS SOLUTIONS INC,SWKS,-6.66%
433,NEXTERA ENERGY INC,NEE,-6.70%
434,BOSTON PROPERTIES INC,BXP,-6.76%
435,VICI PROPERTIES INC,VICI,-6.84%
436,MICROCHIP TECHNOLOGY INC,MCHP,-6.96%
437,BIO TECHNE CORP,TECH,-7.00%
438,WEC ENERGY GROUP INC,WEC,-7.03%
439,KIMCO REALTY CORP,KIM,-7.04%
440,ESSEX PROPERTY TRUST INC,ESS,-7.26%
441,P G + E CORP,PCG,-7.65%
442,MORGAN STANLEY,MS,-7.94%
443,REALTY INCOME CORP,O,-8.01%
444,EXPEDIA GROUP INC,EXPE,-8.36%
445,WHIRLPOOL CORP,WHR,-8.46%
446,REGENCY CENTERS CORP,REG,-8.85%
447,KEURIG DR PEPPER INC,KDP,-8.85%
448,FRANKLIN RESOURCES INC,BEN,-8.96%
449,QUEST DIAGNOSTICS INC,DGX,-9.09%
450,DUPONT DE NEMOURS INC,DD,-9.10%
451,INSULET CORP,PODD,-9.14%
452,FREEPORT MCMORAN INC,FCX,-9.16%
453,PALO ALTO NETWORKS INC,PANW,-9.18%
454,AMERICAN WATER WORKS CO INC,AWK,-9.33%
455,STANLEY BLACK + DECKER INC,SWK,-9.61%
456,ZIONS BANCORP NA,ZION,-9.62%
457,ROBERT HALF INC,RHI,-9.62%
458,AKAMAI TECHNOLOGIES INC,AKAM,-9.63%
459,MOSAIC CO/THE,MOS,-9.82%
460,ADOBE INC,ADBE,-9.89%
461,GILEAD SCIENCES INC,GILD,-10.16%
462,ROCKWELL AUTOMATION INC,ROK,-10.26%
463,COMERICA INC,CMA,-10.48%
464,DEERE + CO,DE,-10.78%
465,KENVUE INC,KVUE,-10.87%
466,LULULEMON ATHLETICA INC,LULU,-10.96%
467,HEWLETT PACKARD ENTERPRISE,HPE,-11.25%
468,VENTAS INC,VTR,-11.54%
469,CAESARS ENTERTAINMENT INC,CZR,-11.54%
470,EXTRA SPACE STORAGE INC,EXR,-11.81%
471,PAYCOM SOFTWARE INC,PAYC,-12.10%
472,INVESCO LTD,IVZ,-12.44%
473,ETSY INC,ETSY,-12.87%
474,AMERICAN TOWER CORP,AMT,-12.91%
475,APTIV PLC,APTV,-13.29%
476,GENERAC HOLDINGS INC,GNRC,-13.53%
477,BIOGEN INC,BIIB,-14.02%
478,INTEL CORP,INTC,-14.47%
479,BAKER HUGHES CO,BKR,-14.57%
480,C.H. ROBINSON WORLDWIDE INC,CHRW,-14.75%
481,BORGWARNER INC,BWA,-14.90%
482,HEALTHPEAK PROPERTIES INC,PEAK,-15.20%
483,VF CORP,VFC,-15.43%
484,AIR PRODUCTS + CHEMICALS INC,APD,-15.45%
485,3M CO,MMM,-15.63%
486,APA CORP,APA,-15.77%
487,FIRST SOLAR INC,FSLR,-15.99%
488,WARNER BROS DISCOVERY INC,WBD,-15.99%
489,SBA COMMUNICATIONS CORP,SBAC,-16.75%
490,AES CORP,AES,-16.88%
491,WALGREENS BOOTS ALLIANCE INC,WBA,-17.39%
492,CARNIVAL CORP,CCL,-17.96%
493,FMC CORP,FMC,-18.08%
494,ALBEMARLE CORP,ALB,-18.20%
495,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-18.46%
496,HUMANA INC,HUM,-19.60%
497,TESLA INC,TSLA,-20.55%
498,PARAMOUNT GLOBAL CLASS B,PARA,-20.82%
499,BOEING CO/THE,BA,-22.70%
500,CHARTER COMMUNICATIONS INC A,CHTR,-23.59%
501,NEWMONT CORP,NEM,-25.37%
502,ARCHER DANIELS MIDLAND CO,ADM,-25.64%
503,MARKETAXESS HOLDINGS INC,MKTX,-27.08%
